mid,author,aid,title,created,length,pic,duration,tid,tname,view,danmaku,reply,like,coin,favorite
208259,陈睿,21322566,bilibili上市宣传视频,1522205992,02:35,//i1.hdslb.com/bfs/archive/37f383ac35d386af1fc578108ad643e5952ff66a.jpg,155,124,趣味科普人文,1371017,43606,16165,45797,71691,34413
208259,陈睿,14692212,说说你在B站的故事,1506077168,05:05,//i1.hdslb.com/bfs/archive/49dc617c460435c892fca81049e4bd0c7c22667c.jpg,305,21,日常,518951,9370,6340,6246,13698,11962
433351,EdmundDZhang,43005072,【老E】守望先锋+吃鸡？！三个人消灭了整局游戏里的一半玩家！,1549678153,18:34,//i2.hdslb.com/bfs/archive/bb40800a00d19c49cca3bf347b5faa2fc3583a08.jpg,1114,17,单机游戏,769237,4735,2834,27565,25041,9976
433351,EdmundDZhang,2952236,【老E】快看！辣里有只小聋虾！,1443146005,21:01,//i1.hdslb.com/bfs/archive/f7c3d92b7bbbb0c5c3a396407599730c17d6db82.jpg,1261,17,单机游戏,855342,8204,1421,201,3101,1743
433351,EdmundDZhang,1413652,(?_?)这是老E做过的更无聊的视频,1407992192,23:52,//i2.hdslb.com/bfs/archive/ff4720729b8d8bea5044ae7d23299b5310756101.jpg,1432,171,电子竞技,564032,9370,774,159,1886,751
433351,EdmundDZhang,2481186,【老E】"你想我了没？" "滚!" PART 2,1435208158,30:47,//i0.hdslb.com/bfs/archive/d371f993c8446b765ff1132d0980f3b5f641d8af.jpg,1847,17,单机游戏,744520,15604,957,256,2192,1744
433351,EdmundDZhang,1387548,【老E】老E狗眼不识大帝！,1407450912,08:00,//i2.hdslb.com/bfs/archive/a1fb0a48a1be4ea16deff713f385277a3ec3fdce.jpg,480,17,单机游戏,777537,7186,669,292,1848,1289
433351,EdmundDZhang,6380138,【老E】所以说恐怖游戏什么的最讨厌了(?д?;),1474593061,14:00,//i1.hdslb.com/bfs/archive/b9968fe3b1e32a6bc412eacf56beacbbd2c28908.jpg,840,17,单机游戏,970403,13618,2264,595,12010,4420
433351,EdmundDZhang,3404351,【老E】变异！蘑菇宁死前流出绿色汁液的大冒险！,1450406177,23:09,//i2.hdslb.com/bfs/archive/ec67b00c97047b84f742576277e16c86369b2196.jpg,1389,17,单机游戏,634896,7132,1172,249,3709,1960
433351,EdmundDZhang,2738725,【老E】无良UP随便把视频一剪就丢上来系列,1439602634,07:12,//i2.hdslb.com/bfs/archive/bb19b6e8639446211737ad9db6bcfdd961cd4c96.jpg,432,17,单机游戏,946421,8376,2139,192,2355,1790
433351,EdmundDZhang,8248432,【老E】拿到枪了。怪物:”妈妈，我想回家......”,1485492381,32:56,//i1.hdslb.com/bfs/archive/ce7664df30c641256d93aa1cf6177bf1f8b12eca.jpg,1976,17,单机游戏,979925,17083,3293,672,20665,3316
433351,EdmundDZhang,32759778,【老E】中国90年代小学生最喜爱的10大电脑游戏！(上),1538359514,07:57,//i0.hdslb.com/bfs/archive/b1cff5fc30ab5598d47ee9bc45a6ec126cad4524.jpg,477,17,单机游戏,1807422,15990,5818,43162,67175,24187
433351,EdmundDZhang,4305488,【老E】决战！肉盾皮卡丘VS岩石系会馆！,1460079281,41:14,//i0.hdslb.com/bfs/archive/5eebf80a34bb046e02038331355cc60190d0ef90.jpg,2474,17,单机游戏,635964,15048,1850,304,6605,1958
433351,EdmundDZhang,23287665,【老E】我绝不会把亲儿子丢到马桶里之再修改视频我是狗,1526103938,10:01,//i0.hdslb.com/bfs/archive/b86bd754a2e3220f74d7daf8cdb1f1f21ce2fc63.jpg
