mid,author,aid,title,created,length,pic,duration,tid,tname,view,danmaku,reply,like,coin,favorite,tag_id,tag_name,use,atten
208259,陈睿,21322566,bilibili上市宣传视频,1522205992,02:35,//i1.hdslb.com/bfs/archive/37f383ac35d386af1fc578108ad643e5952ff66a.jpg,155,124,趣味科普人文,1371022,43606,16165,45797,71691,34413,114859,B站,11235,1173
208259,陈睿,21322566,bilibili上市宣传视频,1522205992,02:35,//i1.hdslb.com/bfs/archive/37f383ac35d386af1fc578108ad643e5952ff66a.jpg,155,124,趣味科普人文,1371022,43606,16165,45797,71691,34413,2497217,bilibili,9788,1107
208259,陈睿,21322566,bilibili上市宣传视频,1522205992,02:35,//i1.hdslb.com/bfs/archive/37f383ac35d386af1fc578108ad643e5952ff66a.jpg,155,124,趣味科普人文,1371022,43606,16165,45797,71691,34413,278272,上市,709,29
208259,陈睿,21322566,bilibili上市宣传视频,1522205992,02:35,//i1.hdslb.com/bfs/archive/37f383ac35d386af1fc578108ad643e5952ff66a.jpg,155,124,趣味科普人文,1371022,43606,16165,45797,71691,34413,8312,宣传片,37118,1170
208259,陈睿,14692212,说说你在B站的故事,1506077168,05:05,//i1.hdslb.com/bfs/archive/49dc617c460435c892fca81049e4bd0c7c22667c.jpg,305,21,日常,518951,9370,6340,6246,13698,11962,114859,B站,11235,1173
208259,陈睿,14692212,说说你在B站的故事,1506077168,05:05,//i1.hdslb.com/bfs/archive/49dc617c460435c892fca81049e4bd0c7c22667c.jpg,305,21,日常,518951,9370,6340,6246,13698,11962,2848,日常,3576418,385317
433351,EdmundDZhang,43005072,【老E】守望先锋+吃鸡？！三个人消灭了整局游戏里的一半玩家！,1549678153,18:34,//i2.hdslb.com/bfs/archive/bb40800a00d19c49cca3bf347b5faa2fc3583a08.jpg,1114,17,单机游戏,769240,4735,2834,27565,25041,9976,17683,单机游戏,1236667,456648
433351,EdmundDZhang,43005072,【老E】守望先锋+吃鸡？！三个人消灭了整局游戏里的一半玩家！,1549678153,18:34,//i2.hdslb.com/bfs/archive/bb40800a00d19c49cca3bf347b5faa2fc3583a08.jpg,1114,17,单机游戏,769240,4735,2834,27565,25041,9976,636845,APEX,15031,710
433351,EdmundDZhang,43005072,【老E】守望先锋+吃鸡？！三个人消灭了整局游戏里的一半玩家！,1549678153,18:34,//i2.hdslb.com/bfs/archive/bb40800a00d19c49cca3bf347b5faa2fc3583a08.jpg,1114,17,单机游戏,769240,4735,2834,27565,25041,9976,4942,老E,2550,34543
433351,EdmundDZhang,43005072,【老E】守望先锋+吃鸡？！三个人消灭了整局游戏里的一半玩家！,1549678153,18:34,//i2.hdslb.com/bfs/archive/bb40800a00d19c49cca3bf347b5faa2fc3583a08.jpg,1114,17,单机游戏,769240,4735,2834,27565,25041,9976,1214016,单机联机,1446678,10817
433351,EdmundDZhang,2952236,【老E】快看！辣里有只小聋虾！,1443146005,21:01,//i1.hdslb.com/bfs/archive/f7c3d92b7bbbb0c5c3a396407599730c17d6db82.jpg,1261,17,单机游戏,855342,8204,1421,201,3101,1743,538902,杠铃般的笑声,171,22
