mid,author,aid,title,created,length,pic,duration,tid,tname,view,danmaku,reply,like,coin,favorite
546195,老番茄,12124349,如何成为绿帽之王,1500026431,07:13,//i1.hdslb.com/bfs/archive/52678941bd62682c7129e974ff1060472eee91bc.jpg,433,65,网络游戏,939921,4722,2983,2573,6477,2561
562197,中国BOY超级大猩猩,29163960,就算是再难的游戏！我也是可以通过一些野路子通关的！,1534060365,11:44,//i1.hdslb.com/bfs/archive/912af59cba05a86b86f7128d621c2ac1bbbe763b.jpg,704,17,单机游戏,1135284,15649,4626,33964,42034,7413
7349,STN工作室,45400753,SLOG#04 7分钟看卢浮宫3宝,1551757102,09:27,//i2.hdslb.com/bfs/archive/93aef517c38fe0255e2c407045571325b322328b.jpg,567,21,日常,118092,1135,518,4628,1824,897
927587,木鱼水心,14729446,【木鱼微剧场】《仙剑奇侠传》（P2）仗剑江湖为红颜,1506168929,15:12,//i1.hdslb.com/bfs/archive/a579675ee1115436f6b942b65d1a4ee22caf3ead.jpg,912,17,单机游戏,352508,3571,1871,1666,8756,2078
4162287,渗透之C君,2048024,电！锯！肾！大片级实况【电锯惊魂2】第7章 (听说你们开学了哈哈哈哈哈),1424916853,61:37,//i0.hdslb.com/bfs/archive/880e05c50329b64ba66018c1886aeef4c1bbc40b.jpg,3697,17,单机游戏,256167,12985,1347,262,2405,1390
168598,逍遥散人,1081368,[散人]与残月的蛋疼以撒竞技,1398318178,52:04,//i2.hdslb.com/bfs/archive/1b8d2647c3e68173d75850e688e57f5318f382bd.jpg,3124,17,单机游戏,172956,3823,241,57,241,560
808171,吃素的狮子,4538445,【狮子的绘画课堂6】五一·脑洞节,1462183972,12:54,//i2.hdslb.com/bfs/archive/a1a2ac2ba9969802fad11e57ff4c635e9e5a91ce.jpg,774,138,搞笑,174800,10412,1701,36,976,1824
4162287,渗透之C君,2555948,【C菌】那些听说是最恐怖的游戏集合【第四期】,1436583675,22:18,//i1.hdslb.com/bfs/archive/de78e18cb3de2ae7a7b426055e9cff8935adc990.jpg,1338,17,单机游戏,575420,38590,1617,629,3127,2551
4162287,渗透之C君,2523177,【C菌】那些听说是最恐怖的游戏集合【第三期】,1435983544,31:54,//i1.hdslb.com/bfs/archive/8c73fc185214fae2ff0587c1a3024f4523e46896.jpg,1914,17,单机游戏,716041,54755,1828,769,4399,3222
10462362,天天卡牌,3162145,炉石传说i联赛精彩集锦,1446517773,11:21,//i2.hdslb.com/bfs/archive/b0067e156307dda517cf99f319038e10601b2dcc.jpg,681,171,电子竞技,158230,861,286,11,272,304
4162287,渗透之C君,29770199,【C菌】最奇葩吃鸡游戏! 【智障游戏合集 | 第47期】,1534680015,15:46,//i2.hdslb.com/bfs/archive/37b714ede929724eefdb82afa9c382115d5a1709.jpg,946,17,单机游戏,1230597,22730,4364,36766,34880,13772
883968,暴走漫画,35668533,【暴走看啥片儿第四季】14 扭腰吧！邓超,1541832573,19:03,//i1.hdslb.com/bfs/archive/a04942757660bf33d1fcfb48d96b7642426f3d86.jpg,1143,182,影视杂谈,230950,2633,1326,6671,2639,658
122879,敖厂长,278545,厂长打造舌尖上的上古卷轴,1338644831,07:57,//i0.hdslb.com/bfs/archive/070eb97e8b4afabca9280ab0c190b79f4d99afd6.gif,477,17,单机游戏,678492,16077,521,725,825,1679
7349,STN工作室,27902390,【屎屎看】周六开黑夜！斗舞挥锄决战宝山之巅,1532775653,12:22,//i2.hdslb.com/bfs/archive/82561841e95c2127cd8f217db519c9c7c711940e.jpg,742,65,网络游戏,161730,1122,544,2790,1728,652
777536,LexBurner,10141882,【Lex】震惊！谷哥和度娘居然组了cp！,1493382601,33:53,//i1.hdslb.com/bfs/archive/11988c9ac73f0d556b931f6ca00264ca3184d31a.jpg,2033,172,手机游戏,832287,9031,3387,319,4769,1162
1643718,山下智博,983087,【山下】日语绅士之道009 “称赞”,1393304325,10:23,//i1.hdslb.com/bfs/archive/35abf4ec06bdbc4caa21f42a9c64c857b86755d5.jpg
10462362,天天卡牌,6979659,守望先锋【午时已到】第17期：风骚大锤一路向北,1478379294,09:27,//i1.hdslb.com/bfs/archive/2726d1fd89d98e0aba682c314712895594ae1529.jpg,567,171,电子竞技,639805,2833,863,11,5739,1419
4162287,渗透之C君,5259379,【C菌】妈的如此智障! 那些最奇葩傻缺的游戏集合!【第11期】C菌竟公然调戏女子??,1468032810,18:53,//i0.hdslb.com/bfs/archive/cb68e13c58fa2abd845ef3989c90a9035adf694a.jpg,1133,17,单机游戏,1432986,42348,5356,2437,53550,9729
1643718,山下智博,9535671,【绅士一分钟】在日本，女孩子迎来第一次的时候，家人居然会吃红豆饭庆祝？！,1491181218,03:16,//i2.hdslb.com/bfs/archive/ac4a77a319751573e66999a2a3503827f9835a81.jpg,196,138,搞笑,690501,3213,1734,702,4118,3260
562197,中国BOY超级大猩猩,3375131,你见过这样带儿子的吗？,1449928923,15:15,//i0.hdslb.com/bfs/archive/4da9fb10656e8daf489b420beaee6e4c623fd69a.jpg,915,17,单机游戏,202356,1535,388,421,424,1617
808171,吃素的狮子,48120567,赤身拳击！干翻拳击教练需要几拳？,1554278405,04:43,//i0.hdslb.com/bfs/archive/fcadc12bd36063d6627f1528c869634a68103596.jpg,283,21,日常,169901,1814,908,15830,9678,3733
43536,黑桐谷歌,3162141,【巫师/猎魔人/狩魔猎人3】黑桐谷歌视频攻略 39,1446517730,51:14,//i1.hdslb.com/bfs/archive/ae1797be3f0a02d835aa9efec90cff53fe448adb.jpg
1532165,papi酱,4538472,papi酱的明星系列视频——《明撕ing面对面》,1462184092,03:53,//i1.hdslb.com/bfs/archive/bdded088edccd03c571e3ecb2888e7485ca3fa58.jpg,233,138,搞笑,2078152,12790,4192,5027,23037,9557
808171,吃素的狮子,589860,【巨人&LOL&三国杀&全明星】真·进击的巨人（中日英德配）02【金坷垃争夺战】,1370310171,25:34,//i1.hdslb.com/bfs/archive/f7595c89e06d4d2057f8040c1efeb18ddaf20df7.jpg,1534,27,综合,92710,11540,124,42,519,1480
122879,敖厂长,262185,厂长击爆元首蛋蛋,1336393332,11:28,//i1.hdslb.com/bfs/archive/7a8de91f51555df408e7baa628476dddc3e54694.jpg,688,17,单机游戏,767495,22307,812,762,742,3029
946974,影视飓风,15909085,让Tim脸红的她是......,1509470207,12:37,//i1.hdslb.com/bfs/archive/54dab465e5fb38d803f8ddd3045f2999c1284d29.jpg,757,71,综艺,50393,612,176,247,278,269
808171,吃素的狮子,31703500,【梗百科64】乒乒乓乓！谁是那个不会打球的胖子？飞舞在乒乓球桌上的那些梗！！？,1536922040,08:26,//i0.hdslb.com/bfs/archive/1dba1abace4cbdc1b7cafbcfe4a611d80e6f4a29.jpg,506,163,运动,350453,2322,1251,12207,8472,4940
7349,STN工作室,28279197,【屎屎看】人体唢呐挑战美声游戏,1533131017,13:24,//i2.hdslb.com/bfs/archive/47ea0fb5b5e12b348e2696ba1fba37f5bc766821.jpg,804,17,单机游戏,138596,1429,469,3030,2069,710
423895,怕上火暴王老菊,12615924,【王老菊教你喜加一】第九期：射爆游戏,1501077245,38:30,//i0.hdslb.com/bfs/archive/37d5e4920ae508e439dd8ba0b17eeaa05a9f0885.jpg,2310,17,单机游戏,667475,14430,3127,1447,15989,4257
562197,中国BOY超级大猩猩,31850960,这可能是2018目前最搞笑的生存游戏了,1537088675,20:42,//i0.hdslb.com/bfs/archive/0b5701477cd226a3f9fc080751e451532280e7da.jpg,1242,17,单机游戏,760767,8223,2696,18434,12202,3047
927587,木鱼水心,1654817,【木鱼动画解析@第11期】EVA片段分析,1414259328,18:10,//i0.hdslb.com/bfs/archive/08554f76e4bbb7b10815deb12ae73bedcb65e38f.jpg,1090,122,野生技术协会,29732,484,315,45,559,428
122879,敖厂长,1998886, 【敖厂长】在MC中包二奶,1423889583,27:03,//i0.hdslb.com/bfs/archive/975f4620f4716ec8cf78dedd888a3b0cdbc527c5.jpg,1623,17,单机游戏,1395511,72040,2199,277,1743,3030
808171,吃素的狮子,3260424,【狮子的绘画课堂3】拯救最美的公主,1448136140,06:40,//i0.hdslb.com/bfs/archive/1e70f11646624efe7735bc8bd730c2a0af978cf4.jpg,400,162,绘画,234917,11029,1779,65,3471,3203
562197,中国BOY超级大猩猩,884784,中国BOY【病房2】试玩 确定这是恐怖游戏？,1387883917,31:36,//i1.hdslb.com/bfs/archive/3a95b1b202657b46fc60293bd8a36dbd74037ec8.jpg,1896,17,单机游戏,32936,724,116,121,45,124
37090048,哔哩哔哩创作中心,41484871,【激励计划1周年】UP主用激励金付房租、买猫粮、定制粉丝福利……创作君馋哭了！,1548235979,05:47,//i2.hdslb.com/bfs/archive/c1db725ee23a87186cc4266ad5c5352cb8adfdc6.jpg,347,21,日常,222318,1100,1281,4961,950,930
43536,黑桐谷歌,8995016,黑桐谷歌【仁王】12 秽土之城,1488731259,25:10,//i0.hdslb.com/bfs/archive/4b9bcd78c87e4f7371ba06671adc97743ec61782.jpg,1510,17,单机游戏,175318,2253,415,144,1736,694
