mid,author,aid,title,created,length,pic,view,danmaku,reply,like,coin,favorite
562197,中国BOY超级大猩猩,1950049,【中国BOY】奇异人生试玩丨我是时空操控者,1422844348,35:31,//i0.hdslb.com/bfs/archive/216036b01c553a2b6cd996a4ee901a3be7f6aaab.jpg,8090,212,28,17,16,47
10462362,天天卡牌,30031946,【天天吃鸡】第31期 快扶我！我又双叒叕倒了,1534934814,12:06,//i2.hdslb.com/bfs/archive/b1188ca163abe419910f1657fa32a604819b9409.jpg,603300,4741,1064,9037,12142,1517
32786875,信誓蛋蛋,18268311,扒一扒法国总统马卡龙（你愿意和老师……吗？）,1515846336,07:18,//i0.hdslb.com/bfs/archive/5f49deaa36581fe2d0de3b22526eadd63437befe.jpg,250343,3663,1404,6389,5560,1012
1643718,山下智博,2245027,【绅士大概一分钟】香蕉的风骚食用姿势,1429635057,02:59,//i0.hdslb.com/bfs/archive/802288555083b2aef69967a9429f9c0d3d2ad773.jpg,369627,7029,452,27,152,475
43536,黑桐谷歌,541069,黑桐谷歌【荒野大镖客：救赎】01-02,1366430272,24:29,//i2.hdslb.com/bfs/archive/10422663e891967add0e209c5811dd51f8c3dcbe.jpg,124423,6980,274,53,259,318
562197,中国BOY超级大猩猩,45253431,DELTARUNE#1(三角符文）丨自闭儿童来拯救世界了？!,1551608954,35:46,//i2.hdslb.com/bfs/archive/577d540fbe2b2237a9d9934b9a7483d7e8016d45.jpg,418603,8779,2487,20707,8029,4453
562197,中国BOY超级大猩猩,3211703,马里奥制造#3丨官方自制关卡？！,1447346686,20:42,//i0.hdslb.com/bfs/archive/45da17b8ec9ea73594df6950fa8f2980aa42f1fa.jpg,71554,902,97,128,111,368
1643718,山下智博,24494333,【潜入日本02】东京租房要10万！？日本不动产了解一下,1528351916,04:57,//i1.hdslb.com/bfs/archive/470716ed50a9514f63f814a91b518c5b5f7c689b.jpg,232300,1953,1406,4218,3488,878
927587,木鱼水心,3670450,【荒野猎人】木鱼三分钟影评——长镜头讲述的冰与血的诗,1453800563,04:28,//i2.hdslb.com/bfs/archive/fab8787a4aab5ce4befb9d0be205f62d346b4469.jpg,270938,332,204,106,419,871
777536,LexBurner,2458030,听说大家都在看终结的炽天使，那就让我们一起来吐槽它把,1434720918,10:53,//i1.hdslb.com/bfs/archive/d312df2f8d6456d5afe91cba57448430e3899e4c.jpg,2509716,65099,7112,5153,13147,24606
32786875,信誓蛋蛋,22708433,美国人真的觉得假肉汉堡比汉堡王好吃嘛？,1524965750,09:42,//i1.hdslb.com/bfs/archive/c1f0bcbca2a93eac52cc99fa92a9ca389d43c86f.jpg,727239,5135,1944,15335,11376,1710
562197,中国BOY超级大猩猩,1819024,【中国BOY】以撒的结合：重生丨人品大爆表！,1419161697,35:19,//i0.hdslb.com/bfs/archive/0b530a46541d6653fa7dba62151a64d6e1ddb078.jpg,25703,476,49,52,57,101
1643718,山下智博,3359166,【绅士大概一分钟】④老司机菊花撞人教学,1449703423,07:01,//i1.hdslb.com/bfs/archive/26728cbf70adc742a24561504f6bf7f4c087e2c1.jpg,283356,6654,616,21,793,435
375375,伊丽莎白鼠,1802633,【鬼畜时间到】全明星教你练习九阴真经,1418617788,02:00,//i2.hdslb.com/bfs/archive/a57774a889f7e1bfa8006ce41d5d6088076f7225.jpg,1329291,7469,1247,1440,2912,13439
562197,中国BOY超级大猩猩,11665696,去大庆参加舍长婚礼(VLOG),1498543796,10:04,//i1.hdslb.com/bfs/archive/af1d8f59af57767f04575f2cefd097d9fe6607fd.jpg,680825,39994,5683,2453,10106,3072
10462362,天天卡牌,18727045,【逗鱼时刻】第141期 感受香菜的怒火,1516885782,11:22,//i1.hdslb.com/bfs/archive/45daca7d89c660ecc9d32d468d6eb4ed7b0d8b2d.jpg,1447825,9340,2409,4061,15008,2083
808171,吃素的狮子,15974762,我不卖肉，不懂事，但我知道我是一个好妹妹！！【梗百科18】,1509693678,05:42,//i2.hdslb.com/bfs/archive/7f56cbeec04f9fcd350394a28dbbe3cb1a29797f.jpg,727605,6291,1754,6631,40283,15934
777536,LexBurner,21709013,【Lex】情怀与爆笑！四月新番吐槽第一弹！,1523016024,15:33,//i1.hdslb.com/bfs/archive/e4119950a8dbaa6cc7a150c406c76040da363292.jpg,2549467,41098,11152,52060,110826,59851
7487399,努力的Lorre,37389221,《惊奇队长》第二预告来袭，剧情早已被中国观众破解！,1543898901,25:51,//i1.hdslb.com/bfs/archive/366e8339c4ee10311daab9d2cc752583d6c1ac3c.jpg,1255018,7664,3754,27492,31231,11778
546195,老番茄,11895082,老番茄教你成为灵魂画师（上）,1499216418,10:40,//i0.hdslb.com/bfs/archive/ad64af5fd33fb88baffa67eca1ac38e6e11625dd.jpg,722473,17547,2403,2020,11158,4094
43536,黑桐谷歌,2130304,03月20日直播录像-GTAOL-抢劫模式受苦-多P,1426916116,428:47,//i1.hdslb.com/bfs/archive/004fe6f52db345e8185d1fa96baf106f366bab02.jpg,154575,3902,259,34,193,945
423895,怕上火暴王老菊,15073604,王老菊教你打猎,1507123906,38:37,//i0.hdslb.com/bfs/archive/f0ca79b059fb34535e7eb1d52b7a4c4a8dd07f22.jpg,1084116,25194,4558,4722,33951,8708
562197,中国BOY超级大猩猩,2392448,恐龙猎手丨秒杀霸王龙！,1433248244,18:41,//i1.hdslb.com/bfs/archive/e36ed36558179ece3391ad0d9f2de621377655fe.jpg,22515,191,24,28,17,66
777536,LexBurner,2228615,听说大家都在追四月新番，那就让我们一起去吐槽它吧,1429259729,06:53,//i2.hdslb.com/bfs/archive/0e0b29f0cf4ed05310b38702bb68839fec7ef200.jpg,2067118,32061,2792,1526,5746,13245
423895,怕上火暴王老菊,22642943,王老菊教你当牧娘人,1524826346,26:38,//i2.hdslb.com/bfs/archive/70f1533c407dddd9502f8e88a860887f13a9d28c.jpg,297188,2365,1480,3377,3936,1274
8047632,哔哩哔哩弹幕网,1999286,【哔哩哔哩2015拜年祭】,1423894866,113:26,//i1.hdslb.com/bfs/archive/5d01acf3f5adf606094dd486d95cc822bf9fd3e5.jpg,9129804,2208516,95324,7238,192036,182511
1643718,山下智博,18219199,尝试下18禁死神辣咖喱！宫崎的舌头会赢吗？【绅士一分钟】,1515801625,06:00,//i2.hdslb.com/bfs/archive/cd3c921a70419a915411aa638ca2eeba932b2fc8.jpg,646636,8278,1848,5916,8497,2283
927587,木鱼水心,9568571,【木鱼微剧场】《十二国记：风之万里黎明之空》（此系列Part 3）,1491182158,28:16,//i1.hdslb.com/bfs/archive/4dfbea45b2f0fbfe92c4ca1ff3ed2b0dd35d8065.jpg,172719,2441,1059,190,6027,1697
43536,黑桐谷歌,49038150,黑桐谷歌【只狼 影逝二度】视频攻略 05,1555035600,72:07,//i1.hdslb.com/bfs/archive/d3fe07878d05d12d989b4a614a549226728bddae.jpg,146009,3897,670,7108,6785,2173
43536,黑桐谷歌,1999283,黑桐谷歌【神秘海域3德雷克的谎言】第五集 惨烈超难视频攻略,1423894844,57:22,//i1.hdslb.com/bfs/archive/1a4b83a3e5b1c2abde3390d1a6fada2581d861e9.jpg,246589,7766,699,57,1091,529
43536,黑桐谷歌,852413,黑桐谷歌【COD GHOST中文字幕视频攻略解说】08追杀令,1385589292,14:14,//i2.hdslb.com/bfs/archive/c926259973c69f5446699d5d5eeda35f4db2607b.jpg,21766,881,29,5,62,50
43536,黑桐谷歌,852412,黑桐谷歌【COD GHOST中文字幕视频攻略解说】07猛禽行动,1385589201,16:51,//i1.hdslb.com/bfs/archive/a4ea1264de71c891f250dfaae179dc06b6467baf.jpg,23195,1006,24,4,55,61
423895,怕上火暴王老菊,2343313,王老菊的血源之旅14：猎杀的终点（完结）,1432052668,36:28,//i2.hdslb.com/bfs/archive/568ac3bf323356d2bfc53624ae0960a215335c61.jpg,484063,11070,1559,288,3462,1854
43536,黑桐谷歌,852414,黑桐谷歌 周合集 11月27~30日（补番专用）,1385589475,111:02,//i1.hdslb.com/bfs/archive/64bab4ab228a1b5c502be42c7dde93760823c4f7.jpg,42235,6975,71,3,55,86
423895,怕上火暴王老菊,6652374,【王老菊】未来科技的环世界传奇【第二集】,1476287809,46:22,//i1.hdslb.com/bfs/archive/acaec2b3bb7e35e6586424da9ad5f9a2aa56d640.jpg,550737,8741,2475,749,9629,1779
927587,木鱼水心,9453859,【木鱼微剧场】《走向共和》（Part 6）戊戌变法,1490705814,15:09,//i2.hdslb.com/bfs/archive/bd7b389c94b08e2c2b2bbc6e584744b1ea2be737.jpg,302768,1992,1209,496,4098,1908
7487399,努力的Lorre,6750675,钢铁侠变丧尸？漫威丧尸英雄传！ 第四章【Lorre】,1476954286,08:20,//i0.hdslb.com/bfs/archive/934d30ec1930e93d5c91a4f08bd52c03f04c0c9e.jpg,863334,2069,645,1318,6541,2609
43536,黑桐谷歌,2883988,【巫师/猎魔人/狩魔猎人3】黑桐谷歌视频攻略 19,1441771779,56:06,//i0.hdslb.com/bfs/archive/d6d3b94e36e6dc54fa3f2da742b57dae568c376a.jpg,160717,4538,501,71,614,410
433351,EdmundDZhang,836021,【老E】史上最煽情的FPS射击游戏,1384481252,11:29,//i1.hdslb.com/bfs/archive/6f1a3b3fa48a1873cf7acc335928d7b8500f3e5a.jpg,1257720,38147,1361,633,3956,4541
546195,老番茄,38077438,【老番茄】史上最沙雕山寨GTA,1544760023,07:05,//i1.hdslb.com/bfs/archive/c395fcd73e0d6598dfb387ffcd25c13c8e141216.jpg,1981859,4916,1896,58488,40947,25052
562197,中国BOY超级大猩猩,8569145,哈！？辍学当主播？,1486882375,08:26,//i1.hdslb.com/bfs/archive/7647f4116d4c5d88c6901cafc61cec7fb2dcdb9c.jpg,1355348,28614,10957,14462,24885,13698
777536,LexBurner,35996570,【Lex】有没有一部动漫改变了你的人生,1542283226,09:47,//i0.hdslb.com/bfs/archive/e5eb52c417e67227ba7bb954eee8ab863b6bda08.jpg,2025276,36456,16151,89596,98933,31524
883968,暴走漫画,30851177,【暴走看啥片儿第四季】07 小偷家族：如果家人可以选择,1535769591,15:07,//i2.hdslb.com/bfs/archive/55a10da059bfedc6568dfb1ade20a68c78768f56.jpg,315280,3264,1608,8311,3507,971
562197,中国BOY超级大猩猩,25362492,广州行（上）丨去广州的第一天竟然是去男主播家里参观？,1529641770,11:05,//i1.hdslb.com/bfs/archive/17adf4dbe1a540e294ecf4fe30cc2d83ef74c6cf.jpg,497060,16901,1985,11469,5939,1686
43536,黑桐谷歌,328133,黑桐谷歌【幽灵行动4未来战士】07 收拾残局,1344217500,35:31,//i0.hdslb.com/bfs/archive/df9e4046f73fc485a38e05144399beb25af0273e.jpg,29581,5112,102,13,52,67
927587,木鱼水心,13664530,【二十二】木鱼三分钟影评——当曾经的愤怒变成悲伤,1503378791,06:54,//i2.hdslb.com/bfs/archive/d95a55b9d447247ec4d67020b617e98da3b1d35d.jpg,446662,3762,6982,1927,23828,6049
946974,影视飓风,10092895,【NAB2017】：大疆家族的新伙伴,1493119973,05:04,//i0.hdslb.com/bfs/archive/1071556d9929aed5a6c6ed350217137d4a69aa03.jpg,8669,99,42,6,76,21
562197,中国BOY超级大猩猩,1573342,【中国BOY】无尽梦魇，看那里有个妹子,1412075084,18:49,//i0.hdslb.com/bfs/archive/8801e2ff499b5ed882beaf06855c1216c35f0c47.jpg,41983,1138,235,264,116,484
617285,芒果冰OL,22626448,少女养成计划prprpr,1524824112,06:33,//i2.hdslb.com/bfs/archive/836909e84eb68aba8ebec2552816ac7b2b1bf4e4.jpg,75316,513,244,904,729,219
7349,STN工作室,24707251,【屎O说】电竞需要被传统体育介入吗？,1528720649,08:14,//i2.hdslb.com/bfs/archive/6dc50b1773198b00d29d94a324c88c741143838b.jpg,190783,1594,1997,2756,3327,1022
10462362,天天卡牌,5243294,【逗鱼时刻】第78期  涛妹与猪，方丈与猴,1467911700,14:26,//i1.hdslb.com/bfs/archive/d79d10389f18a78c6e1c19d2a8d602ced58e5970.jpg,1114703,6221,945,229,3815,1051
808171,吃素的狮子,30195741,【梗百科61】联盟狗？部落猪！？战火无法停息的艾泽拉斯！！？？,1535113240,12:05,//i0.hdslb.com/bfs/archive/358cd358c48308b2bbb85d252b602953d70046c3.jpg,337507,4434,2263,11117,6866,3774
927587,木鱼水心,19726584,【红海行动】木鱼三分钟影评——自然流露的主旋律情怀,1518910087,05:52,//i2.hdslb.com/bfs/archive/36c85fc98373bd911c86b3bdb1dc18fff1a093cb.jpg,727861,3663,9502,7125,8224,2677
808171,吃素的狮子,47006491,和“少爷”up主互换身份一天！体验豪宅超跑美女管家！,1553311847,08:04,//i1.hdslb.com/bfs/archive/99f143c32cf7ede222f8457a018ddd2b2d716bbc.jpg,1391570,5315,2665,48613,28699,15836
398510,泽野螳螂,328159,【全明星乐团】数码宝♂贝,1344219782,01:54,//i1.hdslb.com/bfs/archive/ff0a3fee9b75520b823189aad885b17c70f2a88c.jpg,531645,5626,620,1083,957,4316
1643718,山下智博,9470283,【绅士一分钟】国外老司机专用中文教科书《Dirty Chinese》，整本书从内而外散发着黄色的气息。,1490835659,04:28,//i0.hdslb.com/bfs/archive/c63e80e311b9015a0fbc69a563cc2e28852d1a1e.jpg,250775,2591,629,78,2784,1263
423895,怕上火暴王老菊,459239,这是一款励志的游戏【←_←,1359804533,24:33,//i0.hdslb.com/bfs/archive/7fc22e24861c9e23aa4c9b3720f027ab79b3ec33.jpg,252057,5369,355,163,623,832
808171,吃素的狮子,41091986,【狮乐园】运动王！和美少女一起大汗淋漓！,1547866818,45:54,//i0.hdslb.com/bfs/archive/36c330f7fd5ced934c71eb22e2b7cb260c17da95.jpg,186799,6255,1218,15811,17530,10283
1643718,山下智博,2589124,【绅士大概一分钟】北海道零食介绍,1437171768,06:22,//i2.hdslb.com/bfs/archive/a5267ecad9807298eb5aa9dd93639edfb7320632.jpg,247742,7700,450,25,200,965
10462362,天天卡牌,25493603,【煮鸡时刻】第45期 大哥，我跟鱼干起来了,1529814212,11:42,//i2.hdslb.com/bfs/archive/bf1f6df35328120991f7b51da16e7f35f0f66667.jpg,967408,3485,797,6136,10812,2042
8047632,哔哩哔哩弹幕网,5079467,bilibili七周年 ★ 一路有你,1466870400,01:08,//i2.hdslb.com/bfs/archive/8028a6be61866625631a1f12bbdd1b18599c3894.png,299105,27133,28737,354,29140,17143
777536,LexBurner,2458050,听说大家都看了复仇者联盟2，那就让我们一起来吐槽它吧,1434721185,05:59,//i1.hdslb.com/bfs/archive/445dc42e93e3a2ee0f06c0c640273ba06b82afee.png,1489857,16069,1861,1730,4731,8368
123938419,嘻咦啊看,41976680,【嘻咦啊看】你看这两个假笑男孩，像不像你和你岳父 —— 岳父迟早会有的,1548687903,16:22,//i2.hdslb.com/bfs/archive/9d7838548e8387135eb51f47d7b0ad2bf1312326.jpg,763057,8376,2925,25546,32110,6553
562197,中国BOY超级大猩猩,492014,看BOY叔叔试爆僵尸蛋蛋,1362271134,25:50,//i0.hdslb.com/bfs/archive/f70830617d291d9b8d86ecb7bf65ed8935c34965.jpg,12872,84,145,48,62,27
168598,逍遥散人,5341627,【散人】眼花缭乱 画出你自己的i wanna,1468562038,36:48,//i1.hdslb.com/bfs/archive/08b08848a08c7c8941af90ac651871773f358525.jpg,671606,40390,3627,2378,14892,10471
1643718,山下智博,3113413,【绅士大概一分钟】⑦受欢迎运动TOP3,1445726642,03:33,//i1.hdslb.com/bfs/archive/8b73a3cbe808ec4d53a25faaf2e3cf257dc72b40.jpg,274618,5145,1441,11,327,212
7349,STN工作室,46662436,【屎O说】好莱坞再也拍不好日式科幻？,1552907551,10:19,//i1.hdslb.com/bfs/archive/6db187bb49886194234a42121a86d683ae35523a.jpg,187429,1118,1369,7545,6201,2797
433351,EdmundDZhang,16613645,【老E】我和我最后的倔强,1511495206,10:30,//i1.hdslb.com/bfs/archive/66ba373c20d5e18e8958795f3fedc036ebdbefdd.jpg,1668756,21358,3301,12973,47673,13519
10462362,天天卡牌,37782449,【煮鸡时刻】第58期 回想被它支配的恐惧,1544343002,12:48,//i1.hdslb.com/bfs/archive/7207ffe787e4a99f7ce0e0b4dee4f017c580d947.jpg,682502,3048,702,8214,8279,1653
32786875,信誓蛋蛋,24166529,美国大学生眼中的中国高考: 怎么可能这么难?,1527729944,04:11,//i0.hdslb.com/bfs/archive/d57be7bec1513006c69256ac3e5f672539285dde.jpg,1236672,8412,2992,19959,13587,3635
1532165,papi酱,5292449,papi酱——本期视频献给所有已经毕业和即将毕业的人,1468236620,04:58,//i0.hdslb.com/bfs/archive/30270aa8aa03b48ce0eea553f641b4473af26fbf.jpg,1322752,21294,4020,2140,23885,14251
562197,中国BOY超级大猩猩,12517708,DISTRAINT#END丨最终还是抵挡不住金钱的诱惑！,1500848832,54:38,//i2.hdslb.com/bfs/archive/4a44eba793d64b66c08edaf49295b4933e0cbfb8.jpg,353456,17643,2745,1760,9023,2167
